羅生門・鼻,芥川龍之介,新潮文庫,2005
三四郎,夏目漱石,岩波文庫,2006
阿部一族・舞姫,森鴎外,新潮文庫,2006
暗夜行路,志賀直哉,旺文社文庫,1970
南国太平記,直木三十五,角川文庫,2017
人間失格/グッド・バイ 他一篇,太宰治,岩波文庫,1988
細雪（上）,谷崎潤一郎,新潮文庫,1955
浮雲,二葉亭四迷,新潮文庫,1951
破戒,島崎藤村,新潮文庫,2005
小説神髄,坪内逍遥,岩波文庫,2010
